Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link,,,,
EL,,,,Heim German Afghan Khalil Company,,"Paktiyakoot, Jalalabad Road, District #9",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Ibrahim Haqqani,,,,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Hajji Sahib; Maulawi Haji Ibrahim Haqqani,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Iqra Computer Products ,,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Iqra IT solutions ,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Iqra Computer Products ,,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Iqra Computer Store,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Khalil Zadran,,Shahreno,Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Samar Gul Khalil; Khalil Samar Gul; Samer Khalil; Samer Gul Khalil; Khlil Khalil; Kalil Khalil; Khalil Khualil; and Haji Khalil,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Khalil Zadran Company,,,,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Khalil Construction,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Kurshid Ghoura,,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Kurshed Ghoura; Kursheed Ghoura,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Kurshid Ghoura,,Flat No. 41 Block No 24 Macroyan 3,Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Kurshed Ghoura; Kursheed Ghoura,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Lapcom Computer Stores,,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Muhammad Halim Ghoura,,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Muhammad Halim Ghoura,,Flat No. 41 Block No 24 Macroyan 3,Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Ologh Beg International Forwarders Ltd.,,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Onyx Construction Company,,"Shahr-e-Now, Charahi Haji Yaqoub, In front of the AIB Bank, District 10",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Onyx Construction Company,,"Char Rahi Ansari, Toaward Kolola Poshta, Shar-Naw",Kabul,,11496,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Qazi Abdallah,,"Microrayan 3rd Apt. 45, block #21",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,"Khan Dilawar; Ibrahim Valid Javaid; Jawid, Sa'id Jan 'Abd-al-Salam; Ibrahim Walid",,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Triangle Technologies,,,,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,"House No. 319, 10th Street Wazeer Akbar Khan",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,"Wazir Akbar Khan, District 10, Apartment 319",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,,Tarin Cot City,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,"Behind UNAMA Office, Pir Bagh Office",Gardez,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,"House No. 01, Street No. 01, Muhaqeq Road (Behind Pakistan and Turkish Embassies)",Mazar-e-Sharif,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,, ,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,Hazratan Street (Behind Jalalalabad Teaching Hospital),Jalalalabad,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Construction Company offices,,"Aino Mena, Street No. 22 (Blue Color House Left Side of Road)",Kandahar,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Foundation,,"House No. 319, 10th Street Wazeer Akbar Khan",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Foundation,,Wazir Muhammad-Akbar Khan,Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Foundation,,"Wazir Akbar Khan, District 10, Apartment 319",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Group of Companies,,"House No. 319, 10th Street Wazeer Akbar Khan",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Material Testing Laboratory,,"House 01, Street 01, Kart-e-3 (opposite of Habibia High School), Dar-ul-Aman Road",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurmat Material Testing Laboratory,,"House No. 02, Street No. 01, Kart-e-Malemin",Khandahar,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"Bold Bridge International, LLC",,"Room 463, H. Hakobyan 3",Yerevan,,,Armenia,"75 FR 1699 (1/13/2010), 77 FR 24587",4/25/2012,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,BB Bold Bridge International,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Belmicrosystems Research and Design Center,,"Office 313, 12 Korzhenevsky Street",Minsk,,20108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Belmicrosystems Research and Design Center,,"Korjenevsky Str., 12",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Belmicrosystems Research and Design Center,,"12, Korzhenevskogo Str.",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,SOE Semiconductor Devices Factory,,"Office 313, 12 Korzhenevsky Street",Minsk,,20108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,SOE Semiconductor Devices Factory,,"Korjenevsky Str., 12",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,SOE Semiconductor Devices Factory,,"12, Korzhenevskogo Str.",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Vasili Kuntsevich,,"Office 313, 12 Korzhenevsky Street",Minsk,,20108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Vasili Kuntsevich,,"Korjenevsky Str., 12",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Vasili Kuntsevich,,"12, Korzhenevskogo Str.",Minsk,,220108,Belarus,"75 FR 36516, 77 FR 58006",6/28/2010,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"Experian Holdings, Inc.",,"N Eyre Str, Blake Bldg, Suite 302",Belize City,,99008,Belize,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"Experian Holdings, Inc.",,"Corner Hutson Eyre Str, Blake Bldg, Suite 302",Belize City,,99008,Belize,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Abou El-Khir Al Joundi,,2706 Carre Denise Pelletier,Montreal,Quebec,H4R 2T5,Canada,77 FR 23114,4/18/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Abou El Kheir Joundi; Abou Elkhir Al Joundi; Abou Joundi Et Kheir; Al Joundi; Al Jundi; Elkheir Aljoundi Abou,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Alex Woolf,,"2021 Atwater Street, Suite 216",Montreal,Quebec,H3H 2P2,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Alexandre Ivjenko,,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Alexander Ivjenko,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Ali Bakhshien,,909-4005 Bayview Ave.,Toronto,,M2M 3Z9,Canada,"73 FR 54504, 76 FR 71867",9/22/2008,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Ali Bakhshien,,"HSBC Tower, Suite 502, 3601 Highway 7 East",Markham,Ontario,L3R 0M3,Canada,"73 FR 54504, 76 FR 71867",9/22/2008,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Anastasiya Ivjenko,,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Anastassia Voronkevitch,,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6 ,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Canada Lab Instruments,,"5995 Gouin Ouest, #212",Montreal,Quebec,H4J 2P8,Canada,77 FR 23114,4/18/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,SCO North America,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"EKT 2, Inc.",,"371 Renforth Drive, Etobicoke",Toronto,Ontario,M9C 2L8,Canada,77 FR 24587,4/25/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Enterprise Chips Hunter (ECH),,"2021 Atwater Street, Suite 216",Montreal,Quebec,H3H 2P2,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Kitro Corporation,,909-4005 Bayview Ave.,Toronto,,M2M 3Z9,Canada,"73 FR 54504, 76 FR 71867",9/22/2008,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Kitro Corporation,,"HSBC Tower, Suite 502, 3601 Highway 7 East",Markham,Ontario,L3R 0M3,Canada,"73 FR 54504, 76 FR 71867",9/22/2008,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"Liubov ""Luba"" Skvortsova",,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Lubov Skvortsova,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Magtech,,5762 Royalmount Ave,Montreal,Quebec,H4P 1K5,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,M.A.G. Tech,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Magtech,,"5440 Queen Mart St, Office 103",Montreal,,,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,M.A.G. Tech,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Maria Pashovkina,,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Mercury Electronic Solutions,,"380 Vansickle Rd, Unit 660",St. Catharines,Ontario,L2126P7,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Mercury Group International,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Mercury Electronic Solutions,,127 Rue Wilson,Dollard-des-Ormeaux,Quebec,H9A 1W7,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Mercury Group International,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Natalie Sobolev,,5762 Royalmount Ave,Montreal,Quebec,H4P 1K5,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Natalie Sobolev,,"5440 Queen Mart St., Office 103",Montreal,,,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Sputnik E,,7150 Rue Chouinard,Montreal,Quebec,H8N 2Z6,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurab Kartvelishvili,,"7380 Vansickle Rd., Unit 660",St. Catharines,Ontario,L2126P7,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,George Kartveli,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Zurab Kartvelishvili,,127 Rue Wilson,Dollard-des-Ormeaux,Quebec,H9A 1W7,Canada,77 FR 61249 No. 195,,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,George Kartveli,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,China Aerospace Science and Technology Corporation (CASC),,"No.1 Fengying East Road, Haidian District",Beijing,,100094,China,66 FR 24265; 84 FR 40241,5/14/2001; 8/14/2019,,,For all items subject to the EAR (See §744.11 of the EAR),See §744.3(d) of this part,,,,,,,,,,,,"13th Institute; Beijing Institute of Aerospace Control Devices (BIACD); 230 Factory; and Beijing Aerospace Times Optical-Electronic Technology Co., Ltd.",,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,"China Aerospace Science and Industry Corporation (CASIC) 3rd Academy, 33 Research Institute",,"No. 1, Yungang Beili, Fengtai District",Beijing,,100074,China,"66 FR 24266 , 77 FR 58006 , 81 FR 64694; 84 FR 40241 ",5/14/2001; 12/7/2010; 9/19/2012; 8/14/2019,,,For all items subject to the EAR.,See §744.3(d) of this part,,,,,,,,,,,,33rd Institute; and Beijing Automation Control Equipment Institute (BACEI),,http://www.bis.doc.gov/index.php/policy-guidance/lists-of-parties-of-concern/entity-list,,,,
EL,,,,"China Aerospace Science and Industry Corporation (CASIC) 3rd Academy, 35 Research Institute",,"No. 3 South Street, Hepingli East Road, Dongcheng",Beijing,,100013,China,"66 FR 24266, 77 FR 58006 (no. 182), 81 FR 64694, 84 FR 40241",5/14/2001; 8/14/2019,,,For all items subject to the EAR.,See §744.3(d) of this part,,,,,,,,,,,,35th Institute; and Huahang Institute of Radio Measurement,,http://www.bis.doc.gov/index.php/policy-guidance/lists-of-parties-of-concern/entity-list,,,,
EL,,,,54th Research Institute of China,,,,,,China,"66 FR 24266, 77 FR 58006 (no. 182), 81 FR 64694",5/14/2001,,,For all items subject to the EAR.,See §744.3(d) of this part,,,,,,,,,,,,"China Electronics Technology Group Corp. (CETC) 54th Research Institute; Communication, Telemetry and Telecontrol Research Institute (CTI); and Shijiazhuang Communication Observation and Control Technology Institute.",,http://www.bis.doc.gov/index.php/policy-guidance/lists-of-parties-of-concern/entity-list,,,,
EL,,,,A.C. International,,"Room 1104, North Tower Yueziu City Plaza, No. 445 Dong Feng Zhong Rd.",Guangzhou,,,China,73 FR 54504,9/22/2008,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of Denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Asia International Trading Company,,"Room 1104, North Tower Yueziu City Plaza, No. 445 Dong Feng Zhong Rd.",Guangzhou,,,China,73 FR 54504,9/22/2008,,,For all items subject to the EAR (See §744.11 of the EAR),Presumption of Denial,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Baotou Guanghua Chemical Industrial Corporation (Parent Organization: China National Nuclear Group Corporation (CNNC)),,"202 Factory Baotou, Inner Mongolia",,,,China,66 FR 24266; 81 FR 64694,5/14/2001; 9/20/2016,,,For all items subject to the EAR.,See §744.2(d) of this part,,,,,,,,,,,,"202 Plant, Baotou Nuclear Energy Facility; Baotou Guanghua Chemical Industrial Corporation; Baotou Guanghua Chemical Industry Company; Baotou Nuclear Fuel Element Plant; and China Nuclear Baotou Guanghua; Chemical Industry Company",,http://www.bis.doc.gov/index.php/policy-guidance/lists-of-parties-of-concern/entity-list,,,,
EL,,,,China Aerospace Science and Technology Corporation (CASC) 1st Academy 12 Research Institute,,"51 Yong Ding Road and No. 50 Yongding Road, Haidian District",Beijing,,100854,China,"64 FR 28909, 77 FR 58006 (no. 182); 81 FR 64694",5/28/1999; 9/20/2016,,,For all items subject to the EAR.,See §744.3 of this part,,,,,,,,,,,,12th Research Institute China Academy of Launch Vehicle Technology (CALT); Beijing Institute of Space Automatic Control; Beijing Spaceflight Autocontrol Research Institute; and China Aerospace Science and Technology Corp First Academy 12th Research Institute,,http://www.bis.doc.gov/index.php/policy-guidance/lists-of-parties-of-concern/entity-list,,,,
